22.94	0.863	0.523	0.508	0.42
22.99009	0.868	0.522	0.508	0.418
23.04017	0.865	0.521	0.51	0.418
23.09026	0.865	0.521	0.509	0.418
23.14035	0.869	0.522	0.509	0.419
23.19044	0.863	0.521	0.509	0.418
23.24052	0.867	0.518	0.509	0.418
23.29061	0.864	0.52	0.51	0.418
23.3407	0.868	0.52	0.51	0.418
23.39078	0.87	0.522	0.509	0.417
23.44087	0.868	0.52	0.51	0.418
23.49096	0.867	0.52	0.51	0.418
23.54105	0.869	0.522	0.512	0.418
23.59113	0.869	0.52	0.511	0.417
23.64122	0.869	0.521	0.51	0.417
23.69131	0.871	0.521	0.511	0.417
23.7414	0.872	0.521	0.512	0.416
23.79148	0.869	0.518	0.51	0.417
23.84157	0.872	0.522	0.51	0.416
23.89166	0.872	0.52	0.51	0.418
23.94175	0.867	0.522	0.512	0.417
23.99183	0.872	0.522	0.511	0.417
24.04192	0.873	0.52	0.511	0.416
24.09201	0.872	0.52	0.512	0.413
24.14209	0.872	0.521	0.513	0.417
24.19218	0.875	0.523	0.512	0.415
24.24227	0.87	0.524	0.511	0.418
24.29236	0.871	0.523	0.511	0.418
24.34244	0.872	0.524	0.511	0.418
24.39253	0.873	0.522	0.511	0.419
24.44262	0.865	0.523	0.512	0.418
24.49271	0.868	0.524	0.51	0.42
24.54279	0.865	0.522	0.509	0.419
24.59288	0.868	0.523	0.51	0.419
24.64297	0.862	0.524	0.51	0.419
24.69306	0.868	0.52	0.507	0.42
24.74314	0.865	0.521	0.508	0.42
24.79323	0.862	0.522	0.508	0.419
24.84332	0.862	0.523	0.508	0.419
24.8934	0.866	0.524	0.508	0.42
24.94349	0.861	0.522	0.509	0.42
24.99358	0.861	0.524	0.509	0.42
25.04367	0.863	0.523	0.507	0.419
25.09375	0.862	0.525	0.508	0.418
25.14384	0.863	0.523	0.509	0.419
25.19393	0.863	0.522	0.507	0.42
25.24402	0.86	0.526	0.508	0.419
25.2941	0.868	0.524	0.507	0.421
25.34419	0.86	0.526	0.509	0.421
25.39428	0.862	0.522	0.508	0.419
